City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Fortuna,US,40.6,-124.16,55.4,93,1,3.62,clear sky
213,Mirnyy,RU,62.54,113.96,26.6,73,5,4.47,clear sky
214,Kuching,MY,1.55,110.33,77.0,94,40,2.71,light rain
215,Dikson,RU,73.51,80.55,32.22,95,100,27.92,overcast clouds
216,Chicama,PE,-7.84,-79.15,75.63,50,44,10.94,scattered clouds
217,Kavieng,PG,-2.57,150.8,81.86,74,74,9.89,broken clouds
218,Juneau,US,58.3,-134.42,48.99,93,90,8.05,light rain
219,Yamada,JP,39.47,141.95,52.27,70,15,5.53,few clouds
220,Nouadhibou,MR,20.93,-17.03,75.2,83,0,6.93,clear sky
221,Houma,US,29.6,-90.72,77.0,69,90,10.29,overcast clouds
222,Pacific Grove,US,36.62,-121.92,60.8,93,40,3.36,fog
223,Avera,US,33.19,-82.53,78.8,61,90,6.93,overcast clouds
224,Kaiyuan,CN,23.7,103.3,63.39,87,70,3.85,broken clouds
225,Tautira,PF,-17.73,-149.15,80.01,65,40,5.82,scattered clouds
226,Sao Sebastiao,BR,-23.76,-45.41,78.4,75,13,6.29,few clouds
227,Shimoda,JP,34.67,138.95,60.01,77,6,1.99,clear sky
228,Nome,US,64.5,-165.41,24.8,79,1,4.7,clear sky
229,Benicarlo,ES,40.42,0.43,69.01,48,62,1.99,broken clouds
230,Akdepe,TM,42.06,59.38,41.0,41,15,6.93,few clouds
231,Prince Rupert,CA,54.32,-130.32,50.0,93,40,3.36,scattered clouds
232,Ugoofaaru,MV,5.67,73.0,82.26,76,64,10.92,broken clouds
233,Arona,ES,28.1,-16.68,75.0,73,75,16.11,broken clouds
234,Kizema,RU,61.11,44.83,47.01,93,100,5.3,overcast clouds
235,Belaya Gora,RU,68.53,146.42,26.62,84,58,9.17,broken clouds
236,Ca Mau,VN,9.18,105.15,76.78,91,100,2.95,overcast clouds
237,Flinders,AU,-34.58,150.86,63.0,90,100,4.45,light rain
238,Georgetown,MY,5.41,100.34,84.2,79,20,4.7,moderate rain
239,Emba,KZ,48.83,58.14,45.97,49,100,6.55,overcast clouds
240,Siocon,PH,7.71,122.14,79.43,83,100,3.96,overcast clouds
241,Matara,LK,5.95,80.54,79.2,83,52,12.8,broken clouds
242,Cayenne,GF,4.93,-52.33,91.4,55,20,12.75,few clouds
243,Chapais,CA,49.78,-74.85,46.4,93,90,13.87,light rain
244,Saint-Philippe,RE,-21.36,55.77,71.6,78,90,4.7,overcast clouds
245,Severo-Kurilsk,RU,50.68,156.12,48.38,81,72,25.14,broken clouds
246,Ban Tak,TH,17.04,99.08,75.2,87,21,1.54,few clouds
247,Deputatskiy,RU,69.3,139.9,24.57,96,96,5.41,overcast clouds
248,Sandnessjoen,NO,66.02,12.63,57.0,66,20,16.11,few clouds
249,Klaksvik,FO,62.23,-6.59,53.6,81,99,8.05,overcast clouds
250,Abu Dhabi,AE,24.47,54.37,91.4,59,0,5.82,clear sky
251,Chernyakhiv,UA,50.46,28.67,59.56,94,100,10.22,light rain
252,Zima,RU,53.92,102.04,33.78,88,85,14.63,overcast clouds
253,Arlit,NE,18.74,7.39,102.36,11,14,3.8,few clouds
254,Bustamante,MX,26.53,-100.5,87.01,21,0,7.11,clear sky
255,Nuuk,GL,64.18,-51.72,30.2,63,40,11.41,scattered clouds
256,Ballina,AU,-28.87,153.57,55.4,93,75,4.88,broken clouds
257,Ouadda,CF,8.08,22.4,71.33,87,85,2.51,light rain
258,Taiyuan,CN,37.87,112.56,50.0,66,91,4.47,overcast clouds
259,Cairns,AU,-16.92,145.77,69.8,77,48,1.12,scattered clouds
